Brand,Product_Name,Product_Category
Pampers,Pampers Cruisers,Diapers
Pampers,Pampers Pure Protection,Diapers
Pampers,Pampers Swaddlers,Diapers
Pampers,Pampers Aqua Pure,Wipes 
Pampers,Pampers Sensitive,Wipes 
Pampers,Papmers Baby-Clean Baby Fresh Scent,Wipes 
Downy,Ultra Downy April Fresh Liquid Fabric Conditioner,Fabric Softener
Downy,Downy Wrinkle Guard Liquid Fabric Conditioner,Fabric Softener
Downy,Ultra Downy Free & Gentle Liquid Fabric Conditioner,Fabric Softener
Downy,"Downy Light Scent Booster Beads, Ocean Mist",Scent Beads
Downy,Downy Fresh Protect April Fresh Scent Booster Beads,Scent Beads
Downy,Downy Infusions Calm Scent In Wash Scent Beads,Scent Beads
Downy,"Downy Light Mega Dryer Sheets, Ocean Mist",Dryer Sheets
Downy,Downy Wrinkle Guard Fabric Softener Dryer Sheets,Dryer Sheets
Downy,Downy Infusions Balance Scent Fabric Softener Mega Dryer Sheet,Dryer Sheets
Gain,Gain Original Fabric Softener,Fabric Softener
Gain,Gain Moonlight Breeze Fabric Softener,Fabric Softener
Gain,Gain+Odor Defense Super Fresh Blast Fabric Softener,Fabric Softener
Gain,Gain Original Fireworks Scent Booster,Scent Beads
Gain,Gain+Odor Defense Super Fresh Blast Fireworks Scent Booster,Scent Beads
Gain,Gain Moonlight Breeze Fireworks Scent Booster,Scent Beads
Gain,Gain Original Fabric Softener Sheets,Dryer Sheets
Gain,Gain Island Fresh Fabric Softener Sheets,Dryer Sheets
Gain,Gain Moonlight Breeze Fabric Softener Sheets,Dryer Sheets
Gain,Gain Original Liquid Laundry Detergent,Liquid Detergent
Gain,Gain Ultra Oxi Watergall Delight Liquid Laundry Detergent,Liquid Detergent
Gain,Gain Apple Mango Tango Liquid Laundry Detergent,Liquid Detergent
Gain,Gain Original Powder Laundry Detergent,Powder Detergent
Gain,Island Fresh Powder Laundry Detergent,Powder Detergent
Gain,Hawaiian Aloha With Febreze Freshness Powder Laundry Detergent,Powder Detergent
Gain,Gain Original Flings Laundry Detergent Pacs,Detergent Pods
Gain,Gain Spring Daydream Flings Laundry Detergent Pacs,Detergent Pods
Gain,Gain Island Fresh Flings Laundry Detergent Pacs,Detergent Pods
Tide,Tide Hygienic Clean Heavy Duty 10X Free Liquid Laundry Detergent,Liquid Detergent
Tide,Studio by Tide Darks & Colors Liquid Laundry Detergent,Liquid Detergent
Tide,Tide Zero Soft Lavender Liquid Laundry Detergent,Liquid Detergent
Tide,Tide Free and Gentle Powder Laundry Detergent,Powder Detergent
Tide,Tide Plus A Touch of Downy Powder Laundry Detergent,Powder Detergent
Tide,Tide Original Powder Laundry Detergent,Powder Detergent
Tide,Tide Power PODS Febreze Odor Eliminators + Lasting Freshness Spring & Renewal,Detergent Pods
Tide,Tide PODS Light Laundry Detergent White Lavender Scent,Detergent Pods
Tide,Tide Ultra OXI Power PODS with Odor Eliminators,Detergent Pods
Bounty,Full Size Sheets,Paper Towel
Bounty,Essentials Select-A-Size,Paper Towel
Bounty,Regular Roll,Paper Towel
Bounty,Napkins,Paper Napkin
Charmin,Ultra Strong Super Mega Roll,Toilet Paper
Charmin,Ultra Soft Super Mega Roll,Toilet Paper
Charmin,Flushable Wipes,Toilet Paper
Always,"Always Infinity Size 1 Regular Pads with Wings, Unscented",Menstral Pads
Always,"Always Ultra Thin Size 4 Overnight Pads With Wings, Unscented",Menstral Pads
Always,"Always Maxi Size 1 Regular Pads Without Wings, Unscented",Menstral Pads
Always,Always Radiant Daily Liners Long,Liners
Always,"Always Radiant Daily Liners, Regular, Wrapped",Liners
Always,Always Radiant Daily Multistyle Liners Regular Unscented,Liners
This is L,L. Regular Pads,Menstral Pads
This is L,L. Overnight Pads,Menstral Pads
This is L,L. Maxi Pads,Menstral Pads
This is L,L. Regular Liners,Liners
This is L,L. Extra Coverage Liners,Liners
Gillette,ProGlide,Razor
Gillette,Fusion5 ,Razor
Gillette,Sensor3,Razor
Gillette,GilletteLabs Rapid Foaming Shave Gel,Shaving Gel
Gillette,Gillette Skin Ultra Sensitive Shave Cream,Shaving Gel
Gillette,GilletteLabs Quick Rinse Shave Foam,Shaving Gel
Venus,Deluxe Smooth Swirl Razor,Razor
Venus,Deluxe Smooth Sensitive Razor,Razor
Venus,Comfortglide Freesia Razor,Razor
Venus,Satin Care Dry Skin,Shaving Gel
Venus,Satin Care Sensitive Skin,Shaving Gel
Venus,Shave Gel Relaxing,Shaving Gel
Pantene,Infinite Lengths Biotin+Collagen Sulfate-Free Shampoo,Shampoo
Pantene,MIracle Bond Repair Keratin+Vitamin E Sulfate-Free Shampoo,Shampoo
Pantene,Daily Moisuture Renewal Shampoo,Shampoo
Pantene,Repair & Protect Shampoo,Shampoo
Pantene,Infinite Lengths Biotin+Collagen 1 Minute Miracle Conditioner,Conditioner
Pantene,Iluminating Color Care Conditioner with Biotin,Conditioner
Pantene,Daily Moisuture Renewal Conditioner,Conditioner
Pantene,Repair & Protect Conditioner,Conditioner
Pantene,2 in 1 Daily Moisuture Renewal Shampoo & Conditioner,2-in-1 Shampoo & Conditioner
Pantene,2 in 1 Repair & Protect Shampoo & Conditioner,2-in-1 Shampoo & Conditioner
Pantene,2 in 1 Smooth & Sleek Shampoo & Conditioner,2-in-1 Shampoo & Conditioner
Head & Shoulders,"Apple Cider Vinegar Dandruff Shampoo For Daily Use, Paraben Free",Shampoo
Head & Shoulders,Clinical Dandruff Sensitive Shampoo,Shampoo
Head & Shoulders,"Deep Scalp Cleanse Anti-Dandruff Shampoo For Daily Use, Paraben Free",Shampoo
Head & Shoulders,Clinical Strength Dry Scalp Rescue Shampoo,Shampoo
Head & Shoulders,Classic Clean Anti-Dandruff Conditioner,Conditioner
Head & Shoulders,Clinical Strength Dry Scalp Rescue Conditioner,Conditioner
Head & Shoulders,"Deep Moisture Anti-Dandruff Conditioner For Daily Use, Paraben Free",Conditioner
Head & Shoulders,Supreme Color Protect Conditioner,Conditioner
Head & Shoulders,"Cleassic Clean Anti-Dandruff 2 In 1 Shampoo an Conditioner For Daily Use, Paraben Free",2-in-1 Shampoo & Conditioner
Head & Shoulders,Clinical Strength Dandruff Defense + Advanced Oil Control Shampoo 2 In 1,2-in-1 Shampoo & Conditioner
Head & Shoulders,Deep Moisture Anti-Dandruff 2-In-1,2-in-1 Shampoo & Conditioner
Febreze,Febreze FABRIC Downy Calm,Fabric Spray
Febreze,Febreze FABRIC Sweet Peony,Fabric Spray
Febreze,Febreze FABRIC Pet Odor Fighter,Fabric Spray
Febreze,Febreze Touch Fabric Spray Ocean,Fabric Spray
Febreze,Febreze AIR Downy Calm,Air Freshener
Febreze,Febreze AIR LIGHT Sea Spray,Air Freshener
Febreze,Febreze AIR Mist Refresh & Energizeâ€¯,Air Freshener
Febreze,Febreze AIR Heavy Duty Crisp Clean Air Freshener,Air Freshener
Febreze,Febreze CAR Downy Calm,Car Freshener
Febreze,Febreze CAR Serene Vanilla Sunrise,Car Freshener
Febreze,Febreze CAR LIGHT Sea Spray,Car Freshener
Ambi Pur,Ambi Pur Air Effect Lavender Bouquet Air Freshener,Air Freshener
Ambi Pur,Ambi Pur Air Effects Room Air Freshener Floral Escape ,Air Freshener
Ambi Pur,Ambi Pur Air Effects Air Freshener Sweet Berries,Air Freshener
Ambi Pur,Ambi Pur Car Freshener Gel Romantic Rose,Car Freshener
Ambi Pur,Ambi Pur Car Freshener Gel Relaxing Lavender,Car Freshener
Ambi Pur,Ambi Pur Vanilla Bouquet Car Vent Air Freshener,Car Freshener
Dawn,Dawn Original Dishwashing Liquid,Dishwashing Liquid
Dawn,"Dawn Platinum Dishwashing Liquid, Fresh Rain",Dishwashing Liquid
Dawn,"Dawn Free & Clear EZ-Squeeze Dish Soap, Unscented",Dishwashing Liquid
Dawn,"Dawn Gentle Clean EZ-Squeeze Dish Soap, Pomegranate Rose Water",Dishwashing Liquid
Dawn,"Dawn Antibacterial Hand Soap, Orange",Hand Soap
Dawn,"Dawn Antibacterial Hand Soap, Apple Blossom",Hand Soap
Dawn,"Dawn Antibacterial EZ-Squeeze Hand Soap, Apple Blossom",Hand Soap
Gain,Gain Ultra Original EZ-Squeeze Dish Soap Summer Watermelon,Dishwashing Liquid
Gain,Gain Ultra Dishwashing Liquid Dish Soap HoneyBerry Hula,Dishwashing Liquid
Gain,Gain Ultra Dishwashing Liquid Dish Soap Original,Dishwashing Liquid
Oral-B,Oral-B Charcoal Toothbrush,Toothbrush
Oral-B,Vivid Whitening Manual Toothbrush,Toothbrush
Oral-B,"Oral-B Brilliance Premium Whitening Toothbrush, Extra Soft",Toothbrush
Oral-B,Oral-B 3D White Pro-Flex Stain Eraser Toothbrush,Toothbrush
Oral-B,Oral-B Gum Care & Enamel Restore Toothpaste,Toothpaste
Oral-B,Oral-B 3D White Whitening Therapy Enamel Care,Toothpaste
Oral-B,Oral-B Tooth and Gum Care Toothpaste,Toothpaste
Oral-B,Oral-B Sensitivity and Gum All Day Protection,Toothpaste
Oral-B,Genius 7500 Rechargeable Electric Toothbrush,Electric Toothbrush
Oral-B,Pro 500 Rechargeable Electric Toothbrush,Electric Toothbrush
Oral-B,Smart 5000 Rechargeable Electric Toothbrush,Electric Toothbrush
Oral-B,iO Series 9 Electric Toothbrush,Electric Toothbrush
Oral-B,Oral-B Essential Floss,Floss
Oral-B,Oral-B Satin Floss Waxed Mint,Floss
Oral-B,Oral-B Glide Deep Clean Floss Mint,Floss
Oral-B,Oral-B Floss Picks,Floss
Oral-B,3D White Mouthwash,Mouthwash
Oral-B,Extra Fresh Mouthwash,Mouthwash
Oral-B,Deep Clean Mouthwash,Mouthwash
Crest,"Crest 3D White Brilliance Teeth Whitening Toothpaste, Vibrant Peppermint",Toothpaste
Crest,"Crest Pro-Health Gum Detoxify Toothpaste, Deep Clean",Toothpaste
Crest,Crest 3D White Brilliance Pro Enamel Protect Toothpaste,Toothpaste
Crest,"Crest 3D White Whitening Toothpaste, Advanced Deep Clean",Toothpaste
Crest,Crest Pro-Health Advanced with Extra Deep Clean Mouthwash,Mouthwash
Crest,Crest 3D White Diamond Strong Mouthwash,Mouthwash
Crest,Crest Pro-Health Advanced with Extra Whitening Alcohol Free Mouthwash,Mouthwash
Olay,Retinol24 + Peptide Night Face Moisturizer,Moisturizer
Olay,Vitamin C + Peptide 24 Face Moisturizer,Moisturizer
Olay,Niacinamide + Peptide 24 Face Moisturizer,Moisturizer
Olay,Sensitive Facial Cleanser,Facial Cleanser
Olay,Hyaluronic + Peptide 24 Revitalizing Facial Cleanser Fragrance Free,Facial Cleanser
Olay,Retinol24 Skin Renewing Cleanser,Facial Cleanser
Native,Brightening Facial Moisturizer - SPF 30,Moisturizer
Native,Moisturizing Facial Lotion,Moisturizer
Native,Sensitive Facial Moisturizer,Moisturizer
Native,Moisturizing Facial Cleanser,Facial Cleanser
Native,Brightening Facial Cleanser,Facial Cleanser
Native,Sensitive Facial Cleanser,Facial Cleanser